Large Region	Region	Electoral district 	MLA	LIB	NDP	GP	LBN	OTHER	Total Votes		Winning Party 2017	% Liberal Votes	%NDP Votes	%Green Votes		
Interior	Fraser Valley East	Abbotsford South	Plecas, Darryl	11,673	6,297	3,338	---	942	22,250		BC Liberals	52.46%	28.30%	15.00%		
Interior	Fraser Valley East	Abbotsford West	de Jong, Michael	11,618	6,474	2,280	149	516	21,037		BC Liberals	55.23%	30.77%	10.84%		
Interior	Fraser Valley East	Abbotsford-Mission	Gibson, Simon John	12,879	7,339	4,297	---	644	25,159		BC Liberals	51.19%	29.17%	17.08%		
Interior	Fraser Valley East	Chilliwack	Martin, John	9,280	6,207	3,277	---	402	19,166		BC Liberals	48.42%	32.39%	17.10%		
Interior	Fraser Valley East	Chilliwack-Kent	Throness, Laurie	11,841	7,273	3,335	---	---	22,449		BC Liberals	52.75%	32.40%	14.86%		
Interior	Kootenays	Columbia River-Revelstoke	Doug Clovechok	6,620	5,248	1,708	154	840	14,570		BC Liberals	45.44%	36.02%	11.72%		
Interior	Kootenays	Kootenay East	Tom Glenn Shypitka	9,666	5,069	1,926	425	---	17,086		BC Liberals	56.57%	29.67%	11.27%		
Interior	Kootenays	Kootenay West	Katrine Conroy	4,547	11,164	2,976	---	---	18,687		BC NDP	24.33%	59.74%	15.93%		
Interior	Kootenays	Nelson-Creston	Michelle Mungall	5,087	7,685	5,130	---	313	18,215		BC NDP	27.93%	42.19%	28.16%		
Interior	Okanagan-Shushwap & Boundary	Boundary-Similkameen	Linda Margaret Larsen	9,513	7,275	2,274	---	3,165	22,227		BC Liberals	42.80%	32.73%	10.23%		
Interior	Okanagan-Shushwap & Boundary	Kelowna West	Clark, Christy	15,674	6,672	3,628	---	570	26,544		BC Liberals	59.05%	25.14%	13.67%		
Interior	Okanagan-Shushwap & Boundary	Kelowna-Lake Country	Letnick, Norm	15,286	5,345	4,951	---	---	25,582		BC Liberals	59.75%	20.89%	19.35%		
Interior	Okanagan-Shushwap & Boundary	Kelowna-Mission	Thomson, Steve	15,399	5,720	3,836	---	1,976	26,931		BC Liberals	57.18%	21.24%	14.24%		
Interior	Okanagan-Shushwap & Boundary	Penticton	Ashton, Dan	14,470	7,874	5,061	---	---	27,405		BC Liberals	52.80%	28.73%	18.47%		
Interior	Okanagan-Shushwap & Boundary	Shuswap	Kyllo, Gregory James	14,829	7,161	4,175	410	---	26,575		BC Liberals	55.80%	26.95%	15.71%		
Interior	Okanagan-Shushwap & Boundary	Vernon-Monashee	Foster, Eric Bailey	13,625	8,355	6,139	341	---	28,460		BC Liberals	47.87%	29.36%	21.57%	 	
Interior	Thompson and Cariboo	Cariboo North	Coralee Ella Oakes	6,359	4,430	919	---	747	12,455		BC Liberals	51.06%	35.57%	7.38%		
Interior	Thompson and Cariboo	Cariboo-Chilcotin	Donna Barnett	8,520	3,801	2,174	---	---	14,495		BC Liberals	58.78%	26.22%	15.00%		
