Add,Province,Region,Riding #,Riding Name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd,Winner %,NDP /Green,NDP+Green /total,Winnability,NDP    /Total,Green /Total,# Incumbent + Winnable,# Could Greens run here?
43,AB,Calgary,48004,Calgary Centre,,36360,2723,17199,6290,1362,Con,Lib,NDP,56.87%,231.00%,14.10%,,9.84%,4.26%,,
43,AB,Calgary,48005,Calgary Confederation,,35648,5488,14462,7113,1634,Con,Lib,NDP,55.40%,129.61%,19.58%,Potential,11.05%,8.53%,,
43,AB,Calgary,48006,Calgary Forest Lawn,,23585,1282,8537,4133,1894,Con,Lib,NDP,59.81%,322.39%,13.73%,,10.48%,3.25%,,
43,AB,Calgary,48007,Calgary Heritage,,39098,1917,7671,5038,1478,Con,Lib,NDP,70.83%,262.81%,12.60%,,9.13%,3.47%,,
43,AB,Calgary,48008,Calgary Midnapore,,49700,1942,7320,6193,1562,Con,Lib,NDP,74.49%,318.90%,12.19%,,9.28%,2.91%,,
43,AB,Calgary,48009,Calgary Nose Hill,,37950,1478,8606,5107,1140,Con,Lib,NDP,69.91%,345.53%,12.13%,,9.41%,2.72%,,
43,AB,Calgary,48010,Calgary Rocky Ridge,,47477,1927,12694,5869,1291,Con,Lib,NDP,68.55%,304.57%,11.26%,,8.47%,2.78%,,
43,AB,Calgary,48011,Calgary Shepard,,57793,2273,8461,6639,1719,Con,Lib,NDP,75.17%,292.08%,11.59%,,8.63%,2.96%,,
43,AB,Calgary,48012,Calgary Signal Hill,,43535,2044,9370,5121,1800,Con,Lib,NDP,70.37%,250.54%,11.58%,,8.28%,3.30%,,
43,AB,Calgary,48013,Calgary Skyview,,26193,781,14134,7414,1352,Con,Lib,NDP,52.52%,949.30%,16.43%,,14.87%,1.57%,,
43,AB,Edmonton and around,48014,Edmonton Centre,,21586,1332,17000,10659,1168,Con,Lib,NDP,41.72%,800.23%,23.17%,Stretch,20.60%,2.57%,,
43,AB,Edmonton and around,48015,Edmonton Griesbach,,23551,1205,7805,11499,1917,Con,NDP,Lib,51.22%,954.27%,27.63%,Stretch,25.01%,2.62%,,
43,AB,Edmonton and around,48016,Edmonton Manning,,28837,1123,10903,8924,1338,Con,Lib,NDP,56.40%,794.66%,19.65%,,17.46%,2.20%,,
43,AB,Edmonton and around,48017,Edmonton Mill Woods,,26425,944,17611,6284,1153,Con,Lib,NDP,50.41%,665.68%,13.79%,,11.99%,1.80%,,
43,AB,Edmonton and around,48018,Edmonton Riverbend,,34491,1722,13591,9013,844,Con,Lib,NDP,57.81%,523.40%,17.99%,,15.11%,2.89%,,
43,AB,Edmonton and around,48019,Edmonton Strathcona,,20634,1076,6362,26189,1120,NDP,Con,Lib,47.29%,2433.92%,49.23%,Incumbent,47.29%,1.94%,,
43,AB,Edmonton and around,48020,Edmonton West,,35181,1383,11555,8365,1105,Con,Lib,NDP,61.09%,604.84%,16.93%,,14.53%,2.40%,,
43,AB,Edmonton and around,48021,Edmonton--Wetaskiwin,,61709,1609,10300,9623,1852,Con,Lib,NDP,72.52%,598.07%,13.20%,,11.31%,1.89%,,
43,AB,Edmonton and around,48032,Sherwood Park--Fort Saskatchewan,,52950,1547,7167,8667,1607,Con,NDP,Lib,73.61%,560.25%,14.20%,,12.05%,2.15%,,
43,AB,Edmonton and around,48031,St. Albert--Edmonton,,38807,1548,12224,9655,1616,Con,Lib,NDP,60.78%,623.71%,17.55%,,15.12%,2.42%,,
43,AB,Edmonton and around,48033,Sturgeon River--Parkland,,52163,1686,4590,6794,1998,Con,NDP,Lib,77.59%,402.97%,12.61%,,10.11%,2.51%,,
43,AB,Rural Alberta,48001,Banff--Airdrie,,54580,3230,8216,7960,2609,Con,Lib,NDP,71.26%,246.44%,14.61%,,10.39%,4.22%,,
43,AB,Rural Alberta,48002,Battle River--Crowfoot,,52497,1750,2485,3089,1583,Con,NDP,Lib,85.49%,176.51%,7.88%,,5.03%,2.85%,,
43,AB,Rural Alberta,48003,Bow River,,45691,805,3104,3010,1747,Con,Lib,NDP,84.06%,373.91%,7.02%,,5.54%,1.48%,,
43,AB,Rural Alberta,48022,Foothills,,52907,2309,3765,3641,1668,Con,Lib,NDP,82.29%,157.69%,9.25%,,5.66%,3.59%,,
43,AB,Rural Alberta,48023,Fort McMurray--Cold Lake,,39765,857,4708,2767,1583,Con,Lib,NDP,80.04%,322.87%,7.29%,,5.57%,1.73%,,
